titles,year,imdb_rating,num_votes,genre,film_rating,director,lead_actor,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date,Race,Race_Specific,Male
"Roman J. Israel, Esq.",2017,6.5,34282,Drama,PG-13,Dan Gilroy,Denzel Washington,11962778,2471,61999,0.5,2471,6/1/2017,6/1/2017,POC,Black,1
Blinded by the Light,2019,6.9,20427,Comedy,PG-13,Gurinder Chadha,Billy Barratt,11901145,3642,4333305,36.4,3642,10/1/2019,10/1/2019,Not POC,White,1
Unforgettable,2017,5.1,14122,Drama,R,Denise Di Novi,Rosario Dawson,11368012,2471,4785431,42.1,2471,8/1/2017,8/1/2017,POC,Hispanic,0
The Old Man & the Gun,2018,6.7,41100,Action,PG-13,David Lowery,Robert Redford,11277120,3723,142131,1.3,3723,10/1/2018,10/1/2018,Not POC,White,1
Hell Fest,2018,5.5,14447,Action,R,Gregory Plotkin,Cynthea Mercado,11107431,3521,5130963,46.2,3521,12/1/2018,12/1/2018,Not POC,White,0
Welcome to Marwen,2018,6.2,20695,Action,PG-13,Robert Zemeckis,Steve Carell,10763520,3018,2354205,21.9,3018,1/1/2018,1/1/2018,Not POC,White,1
The Beguiled,2017,6.3,52918,Drama,R,Sofia Coppola,Nicole Kidman,10709995,3651,229292,2.1,3651,1/1/2017,1/1/2017,Not POC,White,0
Greta,2018,6,27470,Action,R,Neil Jordan,Isabelle Huppert,10532219,2808,4481910,42.6,2808,7/1/2019,7/1/2019,Not POC,White,0
The Miracle Season,2018,6.5,4732,Action,PG,Sean McNamara,Helen Hunt,10230620,3002,3950652,38.6,3002,3/1/2018,3/1/2018,Not POC,White,0
The Best of Enemies,2019,7.2,11136,Comedy,PG-13,Robin Bissell,Taraji P. Henson,10205616,2803,4446190,43.6,2803,5/1/2019,5/1/2019,POC,Black,0
Marshall,2017,7.3,21390,Drama,PG-13,Reginald Hudlin,Chadwick Boseman,10051659,2471,3000805,29.9,2471,6/1/2017,6/1/2017,POC,Black,1
Hotel Mumbai,2018,7.6,54716,Action,R,Anthony Maras,Dev Patel,9651611,3838,88065,0.9,3838,3/1/2019,3/1/2019,POC,Indian,1
The Wife,2017,7.2,35953,Drama,R,Björn Runge,Glenn Close,9601092,2432,108284,1.1,2432,1/1/2018,1/1/2018,Not POC,White,0
Midnight Sun,2018,6.6,24734,Action,PG-13,Scott Speer,Bella Thorne,9561064,2432,4003993,41.9,2432,3/1/2018,3/1/2018,POC,Hispanic,0
Thank You for Your Service,2017,6.5,12640,Drama,R,Jason Hall,Miles Teller,9536300,2270,3817700,40,2270,10/1/2017,10/1/2017,Not POC,White,1
Tully,2018,7,53663,Action,R,Jason Reitman,Charlize Theron,9369755,3640,3282610,35,3640,10/1/2018,10/1/2018,Not POC,White,0
No Manches Frida 2,2019,4.1,857,Comedy,R,Nacho G. Velilla,Martha Higareda,9270920,3618,3831401,41.3,3618,9/1/2019,9/1/2019,POC,Hispanic,0
"Where'd You Go, Bernadette",2019,6.5,17857,Comedy,PG-13,Richard Linklater,Cate Blanchett,9198356,3618,3462308,37.6,3618,11/1/2019,11/1/2019,Not POC,White,0
Traffik,2018,6,18788,Action,R,Deon Taylor,Priscilla Quintana,9186156,3640,3941338,42.9,3640,1/1/2018,1/1/2018,Not POC,White,0
Apollo 11,2019,8.2,22477,Comedy,G,Todd Douglas Miller,Neil Armstrong,9039891,3185,1607040,17.8,3185,11/1/2019,11/1/2019,Not POC,White,1
Unfriended: Dark Web,2018,6,27833,Action,R,Stephen Susco,Colin Woodell,8866745,2998,3653035,41.2,2998,6/1/2018,6/1/2018,Not POC,White,1
Can You Ever Forgive Me?,2018,7.1,47628,Action,R,Marielle Heller,Melissa McCarthy,8803865,2964,161510,1.8,2964,8/1/2018,8/1/2018,Not POC,White,0
Serenity,2019,5.4,36891,Comedy,R,Steven Knight,Matthew McConaughey,8547045,3125,4415403,51.7,3125,,,Not POC,White,1
Early Man,2018,6.1,20156,Action,PG,Nick Park,Eddie Redmayne,8267544,2006,3190525,38.6,2006,3/1/2018,3/1/2018,Not POC,White,1
The Death of Stalin,2017,7.2,89083,Drama,R,Armando Iannucci,Steve Buscemi,8047856,2006,184805,2.3,2006,6/1/2018,6/1/2018,Not POC,White,1
The Space Between Us,2017,6.4,48871,Drama,PG-13,Peter Chelsom,Gary Oldman,7885294,2976,3775596,47.9,2976,11/1/2017,11/1/2017,Not POC,White,1
Unsane,2018,6.4,41369,Action,R,Steven Soderbergh,Claire Foy,7732899,3662,3762145,48.7,3662,6/1/2018,6/1/2018,Not POC,White,0
Beautiful Boy,2018,7.3,56287,Action,R,Felix van Groeningen,Steve Carell,7649973,2742,218888,2.9,2742,6/1/2018,6/1/2018,Not POC,White,1
Pandas,2018,7.4,571,Biography,G,David Douglas,Drew Fellman,7574012,2742,158915,2.1,2742,9/1/2018,9/1/2018,Not POC,White,1
Let There Be Light,2017,4.7,2542,Drama,PG-13,Kevin Sorbo,Kevin Sorbo,7233471,2837,1729535,23.9,2837,2/1/2017,2/1/2017,Not POC,White,1
Beatriz at Dinner,2017,6,9132,Drama,R,Miguel Arteta,Salma Hayek,7115854,3702,141959,2,3702,5/1/2017,5/1/2017,POC,Hispanic,0
Dog Days,2018,6.2,4251,Action,PG,Ken Marino,Nina Dobrev,6809080,2803,2554766,37.5,2803,2/1/2018,2/1/2018,Not POC,White,0
Boy Erased,2018,6.9,33397,Action,R,Joel Edgerton,Lucas Hedges,6788692,3068,207057,3.1,3068,4/1/2018,4/1/2018,Not POC,White,1
Loving Vincent,2017,7.8,51664,Drama,PG-13,Dorota Kobiela,Hugh Welchman,6735118,2941,23180,0.3,2941,10/1/2017,10/1/2017,Not POC,White,1
Hotel Artemis,2018,6.1,47555,Action,R,Drew Pearce,Jodie Foster,6708147,3029,3232790,48.2,3029,7/1/2018,7/1/2018,Not POC,White,0
The Snowman,2017,5.1,59142,Drama,R,Tomas Alfredson,Michael Fassbender,6700035,2941,3372565,50.3,2941,12/1/2017,12/1/2017,Not POC,White,1
A-X-L,2018,5.3,10665,Action,PG,Oliver Daly,Alex Neustaedter,6501381,3702,2798229,43,3702,1/1/2018,1/1/2018,Not POC,White,1
Same Kind of Different as Me,2017,6.6,6633,Drama,PG-13,Michael Carney,Greg Kinnear,6423605,3154,2591985,40.4,3154,9/1/2017,9/1/2017,Not POC,White,1
Fahrenheit 11/9,2018,7,18232,Action,R,Michael Moore,Jim Acosta,6352306,3702,3008563,47.4,3702,3/1/2018,3/1/2018,Not POC,White,1
Every Day,2018,6.4,18897,Biography,PG-13,Michael Sucsy,Angourie Rice,6102076,2607,3016149,49.4,2607,12/1/2018,12/1/2018,Not POC,White,0
Just Getting Started,2017,4.5,6443,Drama,PG-13,Ron Shelton,Morgan Freeman,6069605,2515,3201459,52.7,2515,12/1/2017,12/1/2017,POC,Black,1
The Florida Project,2017,7.6,97277,Drama,R,Sean Baker,Brooklynn Prince,5904366,2801,157553,2.7,2801,5/1/2017,5/1/2017,Not POC,White,0
Death of a Nation,2018,4.6,6474,Biography,PG-13,Dinesh D'Souza,Bruce Schooley,5885881,2892,2356522,40,2892,3/1/2018,3/1/2018,Not POC,White,1
All Saints,2017,6.1,1582,Drama,PG,Steve Gomer,John Corbett,5802208,2801,1514278,26.1,2801,7/1/2017,7/1/2017,Not POC,White,1
Suburbicon,2017,5.7,40881,Drama,R,George Clooney,Matt Damon,5775178,2890,2840246,49.2,2890,8/1/2017,8/1/2017,Not POC,White,1
My Hero Academia: Two Heroes,2018,7.5,7030,Biography,PG-13,Kenji Nagasaki,Daiki Yamashita,5754556,3042,1388499,24.1,3042,2/1/2018,2/1/2018,POC,Asian,1
Kin,2018,5.8,15031,Biography,PG-13,Jonathan Baker,Josh Baker,5718096,3520,3035618,53.1,3520,8/1/2018,8/1/2018,Not POC,White,1
The Man Who Invented Christmas,2017,7,13716,Drama,PG,Bharat Nalluri,Dan Stevens,5676486,4,1357129,23.9,4,12/1/2017,12/1/2017,Not POC,White,1
Gloria Bell,2018,6.3,9666,Biography,R,Sebastián Lelio,Julianne Moore,5611123,2913,145218,2.6,2913,4/1/2019,4/1/2019,Not POC,White,0
Tiger Zinda Hai,2017,5.9,22234,Drama,Not Rated,Ali Abbas Zafar,Salman Khan,5560921,3246,1787108,32.1,3246,1/1/2017,1/1/2017,POC,Indian,1
Stan & Ollie,2018,7.2,33500,Biography,PG,Jon S. Baird,Steve Coogan,5470235,3520,78104,1.4,3520,10/1/2018,10/1/2018,Not POC,White,1
Colette,2018,6.7,20080,Biography,R,Wash Westmoreland,Keira Knightley,5137622,2881,161179,3.1,2881,8/1/2018,8/1/2018,Not POC,White,0
Action Point,2018,5.1,10274,Biography,R,Tim Kirkby,Johnny Knoxville,5059608,2980,2390164,47.2,2980,9/1/2018,9/1/2018,Not POC,White,1
Beirut,2018,6.4,19399,Biography,R,Brad Anderson,Jon Hamm,5019226,2980,1734497,34.6,2980,11/1/2018,11/1/2018,Not POC,White,1
Gringo,2018,6.1,27342,Biography,R,Nash Edgerton,Joel Edgerton,4969853,1554,2722420,54.8,1554,11/1/2018,11/1/2018,Not POC,White,1
Cold War,2018,7.6,50093,Biography,R,Pawel Pawlikowski,Joanna Kulig,4580048,2882,54353,1.2,2882,3/1/2018,3/1/2018,Not POC,White,0
The Book of Henry,2017,6.6,24447,Drama,PG-13,Colin Trevorrow,Naomi Watts,4504974,3119,1424540,31.6,3119,3/1/2017,3/1/2017,Not POC,White,0
Amazing Grace,2018,7.5,3860,Biography,G,Alan Elliott,Sydney Pollack,4450456,2847,57353,1.3,2847,5/1/2018,5/1/2018,Not POC,White,1
Johnny English Strikes Again,2018,6.2,65647,Biography,PG,David Kerr,Rowan Atkinson,4412170,3111,1638895,37.1,3111,8/1/2018,8/1/2018,Not POC,White,1
Brian Banks,2018,7.2,4629,Biography,PG-13,Tom Shadyac,Aldis Hodge,4376819,1173,2156272,49.3,1173,10/1/2019,10/1/2019,Not POC,White,1
The Biggest Little Farm,2018,8.1,5778,Biography,PG,John Chester,John Chester,4366949,5,110492,2.5,5,,,Not POC,White,1
Gotti,2018,4.8,13967,Biography,R,Kevin Connolly,John Travolta,4343227,3111,1719902,39.6,3111,9/1/2018,9/1/2018,Not POC,White,1
Stronger,2017,6.9,41294,Drama,R,David Gordon Green,Jake Gyllenhaal,4211129,3185,1611040,38.3,3185,2/1/2017,2/1/2017,Not POC,White,1
Ya veremos,2018,5.7,611,Biography,PG-13,Pitipol Ybarra,Mauricio Ochmann,4165949,1947,1803848,43.3,1947,3/1/2018,3/1/2018,POC,Hispanic,1
Life Itself,2018,6.9,18021,Biography,R,Dan Fogelman,Oscar Isaac,4102648,2468,2123463,51.8,2468,11/1/2018,11/1/2018,POC,Hispanic,1
The Hero,2017,6.5,8250,Drama,R,Brett Haley,Sam Elliott,4077333,3185,45317,1.1,3185,4/1/2017,4/1/2017,Not POC,White,1
Replicas,2018,5.5,33212,Biography,PG-13,Jeffrey Nachmanoff,Keanu Reeves,4046429,1721,2375325,58.7,1721,12/1/2019,12/1/2019,Not POC,White,1
Ben Is Back,2018,6.7,18983,Biography,R,Peter Hedges,Julia Roberts,3703184,3015,80734,2.2,3015,6/1/2018,6/1/2018,Not POC,White,0
Table 19,2017,5.8,26538,Drama,PG-13,Jeffrey Blitz,Anna Kendrick,3614896,3070,1597928,44.2,3070,1/1/2017,1/1/2017,Not POC,White,0
Indivisible,2018,5.8,1078,Biography,PG-13,David G. Evans,Sarah Drew,3511417,2827,1503101,42.8,2827,11/1/2018,11/1/2018,Not POC,White,0
BTS World Tour: Love Yourself in Seoul,2018,8.9,856,Biography,112 min,BTS,J-Hope,3509917,3230,2860016,81.5,3230,5/1/2019,5/1/2019,POC,Asian,1
The Oscar Nominated Short Films 2018: Live Action,2018,7.8,195,Biography,R,Max Porter,Kobe Bryant,3508777,2827,695044,19.8,2827,1/1/2018,1/1/2018,POC,Black,1
Disobedience,2017,6.6,25976,Drama,R,Sebastián Lelio,Rachel Weisz,3498782,2125,237393,6.8,2125,4/1/2018,4/1/2018,Not POC,White,0
An Inconvenient Sequel: Truth to Power,2017,6.4,7690,Drama,PG,Bonni Cohen,Jon Shenk,3496795,3088,124823,3.6,3088,12/1/2017,12/1/2017,Not POC,White,1
Til Death Do Us Part,2017,4.6,1191,Drama,PG-13,Chris Stokes,Taye Diggs,3455267,3146,1527289,44.2,3146,3/1/2017,3/1/2017,POC,Black,1
First Reformed,2017,7.1,49018,Drama,R,Paul Schrader,Ethan Hawke,3448256,2038,97562,2.8,2038,7/1/2018,7/1/2018,Not POC,White,1
"Juliet, Naked",2018,6.6,20118,Biography,R,Jesse Peretz,Chris O'Dowd,3444895,2780,60886,1.8,2780,12/1/2018,12/1/2018,Not POC,White,1
Bad Samaritan,2018,6.5,19903,Biography,R,Dean Devlin,David Tennant,3435047,2776,1726868,50.3,2776,2/1/2018,2/1/2018,Not POC,White,1
7 Days in Entebbe,2018,5.8,14177,Biography,PG-13,José Padilha,Batsheva Dance Company,3326885,2358,1592645,47.9,2358,8/1/2018,8/1/2018,Not POC,White,1
Shoplifters,2018,7.9,64825,Biography,R,Hirokazu Koreeda,Lily Franky,3313513,2358,89264,2.7,2358,11/1/2018,11/1/2018,Not POC,White,1
Maiden,2018,7.7,1868,Biography,PG,Alex Holmes,Frank Bough,3168978,3007,46931,1.5,3007,8/1/2019,8/1/2019,Not POC,White,1
The Sisters Brothers,2018,7,56110,Biography,R,Jacques Audiard,John C. Reilly,3143056,3188,115575,3.7,3188,10/1/2018,10/1/2018,Not POC,White,1
Thoroughbreds,2017,6.7,36508,Adventure,R,Cory Finley,Olivia Cooke,3072605,2375,1224430,39.8,2375,10/1/2018,10/1/2018,Not POC,White,0
Whitney,2018,7.3,6791,Biography,R,Kevin Macdonald,Whitney Houston,3026351,36,1265572,41.8,36,1/1/2018,1/1/2018,POC,Black,0
Ingrid Goes West,2017,6.6,37000,Adventure,R,Matt Spicer,Aubrey Plaza,3024308,3,135301,4.5,3,5/1/2017,5/1/2017,POC,Hispanic,0
American Animals,2018,7,39593,Biography,R,Bart Layton,Spencer Reinhard,2856954,9,134793,4.7,9,11/1/2018,11/1/2018,Not POC,White,1
God Bless the Broken Road,2018,5.6,912,Drama,PG,Harold Cronk,Matthew Derek Davis,2846257,2480,1386254,48.7,2480,2/1/2018,2/1/2018,Not POC,White,1
La boda de Valentina,2018,4.8,594,Drama,R,Marco Polo Constandse,Kate Vernon,2783739,2480,1147073,41.2,2480,3/1/2018,3/1/2018,Not POC,White,0
My Cousin Rachel,2017,6,17915,Adventure,PG-13,Roger Michell,Rachel Weisz,2716368,2931,969941,35.7,2931,2/1/2017,2/1/2017,Not POC,White,0
Everybody Knows,2018,6.9,30008,Drama,R,Asghar Farhadi,Penélope Cruz,2660165,2707,71207,2.7,2707,7/1/2019,7/1/2019,POC,Hispanic,0
Qué León,2018,6.2,314,Drama,PG-13,Frank Perozo,Christine Marzano,2607916,33,291936,11.2,33,3/1/2018,3/1/2018,Not POC,White,0
A Question of Faith,2017,5.9,982,Adventure,PG,Kevan Otto,Richard T. Jones,2587072,3031,1025489,39.6,3031,8/1/2017,8/1/2017,Not POC,White,1
Do It Like An Hombre,2017,5.6,1132,Adventure,R,Nicolás López,Mauricio Ochmann,2534252,3104,1174484,46.3,3104,1/1/2017,1/1/2017,Not POC,White,1
You Were Never Really Here,2017,6.8,106689,Adventure,R,Lynne Ramsay,Joaquin Phoenix,2528078,2464,132829,5.3,2464,3/1/2018,3/1/2018,POC,Hispanic,1
Suspiria,2018,6.8,63607,Drama,R,Luca Guadagnino,Chloë Grace Moretz,2483472,2464,184037,7.4,2464,5/1/2018,5/1/2018,Not POC,White,0
Tulip Fever,2017,6.2,18905,Adventure,R,Justin Chadwick,Alicia Vikander,2455635,3134,1158017,47.2,3134,6/1/2017,6/1/2017,Not POC,White,0
The Rider,2017,7.4,15132,Adventure,R,Chloé Zhao,Brady Jandreau,2419031,2504,42244,1.7,2504,9/1/2018,9/1/2018,Not POC,White,1
Arctic,2018,6.8,44449,Drama,PG-13,Joe Penna,Mads Mikkelsen,2410795,3380,50878,2.1,3380,12/1/2019,12/1/2019,Not POC,White,1
T2 Trainspotting,2017,7.2,115311,Adventure,R,Danny Boyle,Ewan McGregor,2402004,2123,170575,7.1,2123,12/1/2017,12/1/2017,Not POC,White,1
Hearts Beat Loud,2018,6.9,10059,Drama,PG-13,Brett Haley,Nick Offerman,2386251,893,74524,3.1,893,6/1/2018,6/1/2018,Not POC,White,1
1991,2018,7.1,828,Drama,141 min,Ricardo Trogi,Jean-Carl Boucher,2342264,29,328828,14,29,9/1/2018,9/1/2018,Not POC,White,1
Papillon,2017,7.2,58672,Adventure,R,Michael Noer,Charlie Hunnam,2335896,2859,1090073,46.7,2859,11/1/2018,11/1/2018,Not POC,White,1
Jeepers Creepers III,2017,3.9,17650,Adventure,Not Rated,Victor Salva,Stan Shaw,2335162,2215,19151,0.8,2215,4/1/2017,4/1/2017,Not POC,White,1
At Eternity's Gate,2018,6.9,29250,Drama,PG-13,Julian Schnabel,Willem Dafoe,2294915,2859,92856,4,2859,12/1/2018,12/1/2018,Not POC,White,1
The Killing of a Sacred Deer,2017,7,127462,Adventure,R,Yorgos Lanthimos,Barry G. Bernson,2291901,2668,115120,5,2668,12/1/2017,12/1/2017,Not POC,White,1
The Lovers,2017,6.1,3487,Adventure,R,Azazel Jacobs,Debra Winger,2194521,2220,66286,3,2220,1/1/2017,1/1/2017,Not POC,White,0
Brad's Status,2017,6.5,16185,Adventure,R,Mike White,Ben Stiller,2133158,1060,89921,4.2,1060,9/1/2017,9/1/2017,Not POC,White,1
Puzzle,2018,6.7,7089,Drama,R,Marc Turtletaub,Kelly Macdonald,2032018,3256,61214,3,3256,8/1/2018,8/1/2018,Not POC,White,0
Good Time,2017,7.4,94427,Adventure,R,Benny Safdie,Josh Safdie,2026499,4,125101,6.2,4,1/1/2017,1/1/2017,Not POC,White,1
A Fantastic Woman,2017,7.2,23109,Adventure,R,Sebastián Lelio,Daniela Vega,2020988,2220,64241,3.2,2220,6/1/2018,6/1/2018,Not POC,White,0
Pope Francis: A Man of His Word,2018,6.3,2066,Drama,PG,Wim Wenders,Pope Francis,2008385,2220,507870,25.3,2220,8/1/2018,8/1/2018,Not POC,White,1
The Front Runner,2018,6.1,11761,Drama,R,Jason Reitman,Hugh Jackman,2000105,0,51543,2.6,0,5/1/2018,5/1/2018,Not POC,White,1
Everybody Loves Somebody,2017,6.5,3822,Adventure,PG-13,Catalina Aguilar Mastretta,Karla Souza,1915789,3162,924201,48.2,3162,8/1/2017,8/1/2017,POC,Hispanic,0
Along With the Gods: The Two Worlds,2017,7.3,12475,Adventure,Not Rated,Yong-hwa Kim,Jung-woo Ha,1908823,2528,185546,9.7,2528,10/1/2017,10/1/2017,Not POC,White,1
Racetime,2018,5.6,390,Drama,PG,Benoît Godbout,Jean-François Pouliot,1875283,2808,271061,14.5,2808,10/1/2018,10/1/2018,Not POC,White,1
Toilet: A Love Story,2017,7.2,18341,Adventure,Not Rated,Shree Narayan Singh,Anupam Kher,1830715,2575,678436,37.1,2575,12/1/2017,12/1/2017,Not POC,White,1
The Wall,2017,6.2,24509,Adventure,R,Doug Liman,Aaron Taylor-Johnson,1803064,1186,897955,49.8,1186,12/1/2017,12/1/2017,Not POC,White,1
The Last Word,2017,6.7,7517,Adventure,R,Mark Pellington,Shirley MacLaine,1783421,1010,31630,1.8,1010,12/1/2017,12/1/2017,Not POC,White,0
Goodbye Christopher Robin,2017,7.1,25096,Adventure,PG,Simon Curtis,Domhnall Gleeson,1735251,19,57917,3.3,19,3/1/2017,3/1/2017,Not POC,White,1
Jane,2017,7.8,4640,Adventure,PG,Brett Morgen,Jane Goodall,1723379,1803,58348,3.4,1803,1/1/2017,1/1/2017,Not POC,White,0
Race 3,2018,1.9,34572,Drama,Not Rated,Remo D'Souza,Anil Kapoor,1690861,1818,1690861,100,1818,11/1/2018,11/1/2018,POC,Indian,1
Pad Man,2018,7.9,21731,Drama,PG-13,R. Balki,Akshay Kumar,1670192,1473,740313,44.3,1473,3/1/2018,3/1/2018,POC,Indian,1
Jolly LLB 2,2017,7.2,22429,Adventure,Not Rated,Subhash Kapoor,Akshay Kumar,1654254,3163,774355,46.8,3163,6/1/2017,6/1/2017,POC,Indian,1
The Little Hours,2017,5.8,20673,Adventure,R,Jeff Baena,Alison Brie,1647175,425,56676,3.4,425,4/1/2017,4/1/2017,Not POC,White,0
Wild Rose,2018,7.2,11272,Drama,R,Tom Harper,Jessie Buckley,1635117,2062,52938,3.2,2062,10/1/2019,10/1/2019,Not POC,White,0
A Private War,2018,6.7,17043,Drama,R,Matthew Heineman,Rosamund Pike,1633208,483,60491,3.7,483,9/1/2018,9/1/2018,Not POC,White,0
A Ghost Story,2017,6.9,62075,Adventure,R,David Lowery,Casey Affleck,1596371,425,104030,6.5,425,5/1/2017,5/1/2017,Not POC,White,1
The Bookshop,2017,6.5,13294,Adventure,PG,Isabel Coixet,Emily Mortimer,1588150,1050,75736,4.8,1050,7/1/2018,7/1/2018,Not POC,White,0
Professor Marston & the Wonder Women,2017,7.1,23692,Adventure,R,Angela Robinson,Luke Evans,1584759,2464,736883,46.5,2464,3/1/2017,3/1/2017,Not POC,White,1
Red Joan,2018,6.4,9878,Drama,R,Trevor Nunn,Judi Dench,1579730,3303,38949,2.5,3303,5/1/2019,5/1/2019,Not POC,White,0
The Stray,2017,5.5,1007,Adventure,PG,Mitch Davis,Michael Cassidy,1579440,2464,596547,37.8,2464,5/1/2017,5/1/2017,Not POC,White,1
Destroyer,2018,6.2,25757,Drama,R,Karyn Kusama,Nicole Kidman,1533324,1645,55347,3.6,1645,4/1/2018,4/1/2018,Not POC,White,0
A Taxi Driver,2017,7.9,17271,Adventure,Not Rated,Hun Jang,Kang-ho Song,1527829,2577,331854,21.7,2577,2/1/2017,2/1/2017,POC,Asian,1
The Square,2017,7.2,56855,Adventure,R,Ruben Östlund,Claes Bang,1502347,2368,74233,4.9,2368,9/1/2017,9/1/2017,Not POC,White,1
Thugs of Hindostan,2018,4.1,17862,Drama,Not Rated,Vijay Krishna Acharya,Aamir Khan,1449848,1560,1185386,81.8,1560,8/1/2018,8/1/2018,Not POC,White,1
"Don't Worry, He Won't Get Far on Foot",2018,6.9,22757,Drama,R,Gus Van Sant,Joaquin Phoenix,1441705,1052,83339,5.8,1052,12/1/2018,12/1/2018,POC,Hispanic,1
Finding Your Feet,2017,6.7,5794,Adventure,PG-13,Richard Loncraine,Imelda Staunton,1418682,1427,60132,4.2,1427,1/1/2018,1/1/2018,Not POC,White,0
Wonder Wheel,2017,6.2,25854,Adventure,PG-13,Woody Allen,Justin Timberlake,1404061,2902,125570,8.9,2902,12/1/2017,12/1/2017,Not POC,White,1
Little Women,2019,7.8,149947,Action,PG,Greta Gerwig,Saoirse Ronan,1379497,1114,705063,51.1,1114,5/1/2018,5/1/2018,Not POC,White,0
Little Women,2018,5.2,1115,Drama,PG-13,Clare Niederpruem,Sarah Davenport,1379497,1114,705063,51.1,1114,5/1/2018,5/1/2018,Not POC,White,0
My Friend Dahmer,2017,6.2,16768,Adventure,R,Marc Meyers,Ross Lynch,1361611,2902,35545,2.6,2902,2/1/2017,2/1/2017,Not POC,White,1
102 Not Out,2018,7.5,6506,Drama,PG,Umesh Shukla,Amitabh Bachchan,1343797,3103,483681,36,3103,12/1/2018,12/1/2018,Not POC,White,1
The Dinner,2017,4.5,7946,Adventure,R,Oren Moverman,Michael Chernus,1323312,1461,653944,49.4,1461,8/1/2017,8/1/2017,Not POC,White,1
Churchill,2017,6.1,12206,Adventure,PG,Jonathan Teplitzky,Brian Cox,1281258,2552,408891,31.9,2552,9/1/2017,9/1/2017,Not POC,White,1
The Sense of an Ending,2017,6.3,6095,Documentary,PG-13,Ritesh Batra,Jim Broadbent,1274420,2552,39692,3.1,2552,11/1/2017,11/1/2017,Not POC,White,1
McQueen,2018,7.8,6467,Drama,R,Ian Bonhôte,Peter Ettedgui,1257275,4,98873,7.9,4,4/1/2018,4/1/2018,Not POC,White,1
The Seagull,2018,5.7,3161,Drama,PG-13,Michael Mayer,Annette Bening,1252960,2929,79016,6.3,2929,11/1/2018,11/1/2018,Not POC,White,0
3 idiotas,2017,4.3,888,Documentary,PG-13,Carlos Bolado,Martha Higareda,1249233,20,609249,48.8,20,10/1/2017,10/1/2017,POC,Hispanic,0
High Life,2018,5.8,29830,Drama,R,Claire Denis,Robert Pattinson,1225852,2607,99341,8.1,2607,6/1/2019,6/1/2019,Not POC,White,1
Mandy,2018,6.5,65737,Drama,Not Rated,Panos Cosmatos,Nicolas Cage,1214525,2298,225723,18.6,2298,11/1/2018,11/1/2018,Not POC,White,1
Beautifully Broken,2018,5.7,361,Drama,PG-13,Eric Welch,Benjamin A. Onyango,1209645,432,589155,48.7,432,5/1/2018,5/1/2018,POC,Black,1
All Is True,2018,6.2,3608,Drama,PG-13,Kenneth Branagh,Kenneth Branagh,1200481,2454,44211,3.7,2454,11/1/2019,11/1/2019,Not POC,White,1
Along With the Gods: The Last 49 Days,2018,7.1,5697,Drama,Not Rated,Yong-hwa Kim,Jung-woo Ha,1200246,1084,311743,26,1084,7/1/2018,7/1/2018,Not POC,White,1
Andhadhun,2018,8.3,74144,Drama,Not Rated,Sriram Raghavan,Ayushmann Khurrana,1193046,3127,278677,23.4,3127,8/1/2018,8/1/2018,Not POC,White,1
Lean on Pete,2017,7.2,11541,Documentary,R,Andrew Haigh,Charlie Plummer,1163056,5,46975,4,5,10/1/2018,10/1/2018,Not POC,White,1
The Trip to Spain,2017,6.6,5503,Documentary,Unrated,Michael Winterbottom,Steve Coogan,1157604,2533,40875,3.5,2533,6/1/2017,6/1/2017,Not POC,White,1
Step,2017,6.8,843,Documentary,PG,Amanda Lipitz,Gari McIntyre,1146292,2533,146488,12.8,2533,9/1/2017,9/1/2017,Not POC,White,1
Viceroy's House,2017,6.7,7019,Documentary,Not Rated,Gurinder Chadha,Hugh Bonneville,1105717,1508,48134,4.4,1508,7/1/2017,7/1/2017,Not POC,White,1
Columbus,2017,7.2,14710,Documentary,Not Rated,Kogonada,John Cho,1017107,21,26820,2.6,21,12/1/2017,12/1/2017,POC,Asian,1
Perfect Strangers,2017,6.9,12522,Documentary,97 min,Álex de la Iglesia,Belén Rueda,1014507,2138,422656,41.7,2138,4/1/2019,4/1/2019,Not POC,White,0
Golmaal Again,2017,5,8227,Documentary,Not Rated,Rohit Shetty,Ajay Devgn,1013893,2346,1013893,100,2346,4/1/2017,4/1/2017,POC,Indian,1
Raid,2018,7.4,15482,Drama,Not Rated,Raj Kumar Gupta,Ajay Devgn,1010385,1911,423817,41.9,1911,1/1/2018,1/1/2018,POC,Indian,1
1945,2017,7.1,3439,Documentary,91 min,Ferenc Török,Péter Rudolf,1006193,1669,20365,2,1669,11/1/2017,11/1/2017,Not POC,White,1
